t[s],[v4],[v5]
5.185181,9.696466,5.240559
5.195181,9.696466,5.128635
5.208753,9.696466,5.047235
5.218753,9.686298,5.01671
5.228753,9.67613,4.986185
5.238753,9.665963,4.97601
5.248753,9.645627,4.97601
5.258753,9.63546,4.965835
5.268753,9.63546,4.945485
5.278753,9.615125,4.91496
5.288753,9.594789,4.884435
5.298753,9.574454,4.85391
5.313257,9.543951,4.782685
5.323257,9.523616,4.721635
5.333257,9.482946,4.660586
5.343257,9.46261,4.589361
5.353257,9.442275,4.518136
5.363257,9.401605,4.416386
5.373257,9.381269,4.324811
5.383257,9.360934,4.202712
5.393257,9.350767,4.090787
5.403257,9.350767,3.968687
5.421981,9.350767,3.714313
5.431981,9.350767,3.561688
5.441981,9.381269,3.419238
5.451981,9.42194,3.266613
5.461981,9.452443,3.124164
5.471981,9.482946,2.951189
5.481981,9.523616,2.808739
5.491981,9.564287,2.66629
5.501981,9.594789,2.534015
5.511981,9.625292,2.42209
5.534729,9.696466,2.188066
5.544729,9.737136,2.106666
5.554729,9.777806,2.025266
5.564729,9.818477,1.974391
5.574729,9.84898,1.943866
5.584729,9.909985,1.923516
5.594729,9.920153,1.913341
5.604729,9.920153,1.913341
5.614729,9.920153,1.903166
5.624729,9.909985,1.903166
5.646442,9.920153,1.892991
5.656442,9.920153,1.892991
5.666442,9.920153,1.892991
5.676442,9.920153,1.882816
5.686442,9.920153,1.882816
5.696442,9.920153,1.872641
5.706442,9.920153,1.872641
5.716442,9.920153,1.872641
5.726442,9.920153,1.862466
5.736442,9.920153,1.842116
5.763509,9.920153,1.831941
5.773509,9.920153,1.831941
5.783509,9.920153,1.831941
5.793509,9.920153,1.831941
5.803509,9.920153,1.831941
5.813509,9.920153,1.821766
5.823509,9.920153,1.831941
5.833509,9.920153,1.831941
5.843509,9.920153,1.842116
5.853509,9.920153,1.892991
5.881073,9.920153,2.035441
5.891073,9.920153,2.157541
5.901073,9.920153,2.249116
5.911073,9.920153,2.36104
